,dt,AverageTemperature,AverageTemperatureUncertainty,Country
161160,1743-11-01,0.727,2.113,Estonia
161161,1743-12-01,,,Estonia
161162,1744-01-01,,,Estonia
161163,1744-02-01,,,Estonia
161164,1744-03-01,,,Estonia
161165,1744-04-01,4.494,3.786,Estonia
161166,1744-05-01,9.038,1.837,Estonia
161167,1744-06-01,14.148,1.661,Estonia
161168,1744-07-01,16.971,1.472,Estonia
161169,1744-08-01,,,Estonia
161170,1744-09-01,11.56,1.527,Estonia
161171,1744-10-01,3.626,1.821,Estonia
161172,1744-11-01,0.7429999999999999,1.527,Estonia
161173,1744-12-01,-5.078,1.838,Estonia
161174,1745-01-01,-8.124,1.868,Estonia
161175,1745-02-01,-8.57,1.632,Estonia
161176,1745-03-01,-5.072,1.4369999999999998,Estonia
161177,1745-04-01,1.3969999999999998,1.4340000000000002,Estonia
161178,1745-05-01,,,Estonia
161179,1745-06-01,,,Estonia
161180,1745-07-01,,,Estonia
161181,1745-08-01,,,Estonia
161182,1745-09-01,,,Estonia
161183,1745-10-01,,,Estonia
161184,1745-11-01,,,Estonia
161185,1745-12-01,,,Estonia
161186,1746-01-01,,,Estonia
161187,1746-02-01,,,Estonia
161188,1746-03-01,,,Estonia
161189,1746-04-01,,,Estonia
161190,1746-05-01,,,Estonia
161191,1746-06-01,,,Estonia
161192,1746-07-01,,,Estonia
161193,1746-08-01,,,Estonia
161194,1746-09-01,,,Estonia
161195,1746-10-01,,,Estonia
161196,1746-11-01,,,Estonia
161197,1746-12-01,,,Estonia
161198,1747-01-01,,,Estonia
161199,1747-02-01,,,Estonia
161200,1747-03-01,,,Estonia
161201,1747-04-01,,,Estonia
161202,1747-05-01,,,Estonia
161203,1747-06-01,,,Estonia
161204,1747-07-01,,,Estonia
161205,1747-08-01,,,Estonia
161206,1747-09-01,,,Estonia
161207,1747-10-01,,,Estonia
161208,1747-11-01,,,Estonia
161209,1747-12-01,,,Estonia
161210,1748-01-01,,,Estonia
161211,1748-02-01,,,Estonia
161212,1748-03-01,,,Estonia
161213,1748-04-01,,,Estonia
161214,1748-05-01,,,Estonia
161215,1748-06-01,,,Estonia
161216,1748-07-01,,,Estonia
161217,1748-08-01,,,Estonia
161218,1748-09-01,,,Estonia
161219,1748-10-01,,,Estonia
161220,1748-11-01,,,Estonia
161221,1748-12-01,,,Estonia
161222,1749-01-01,,,Estonia
161223,1749-02-01,,,Estonia
161224,1749-03-01,,,Estonia
161225,1749-04-01,,,Estonia
161226,1749-05-01,,,Estonia
161227,1749-06-01,,,Estonia
161228,1749-07-01,,,Estonia
161229,1749-08-01,,,Estonia
161230,1749-09-01,,,Estonia
161231,1749-10-01,,,Estonia
161232,1749-11-01,,,Estonia
161233,1749-12-01,,,Estonia
161234,1750-01-01,-2.922,1.9409999999999998,Estonia
161235,1750-02-01,-3.077,3.0260000000000002,Estonia
161236,1750-03-01,-0.722,3.9019999999999997,Estonia
161237,1750-04-01,5.033,1.969,Estonia
161238,1750-05-01,9.613,2.074,Estonia
161239,1750-06-01,15.299,2.006,Estonia
161240,1750-07-01,18.516,2.045,Estonia
161241,1750-08-01,17.625,1.885,Estonia
161242,1750-09-01,10.675999999999998,2.274,Estonia
161243,1750-10-01,1.2539999999999996,2.205,Estonia
161244,1750-11-01,,,Estonia
161245,1750-12-01,-7.474,2.544,Estonia
161246,1751-01-01,-6.888000000000001,2.282,Estonia
161247,1751-02-01,-11.002,2.822,Estonia
161248,1751-03-01,-1.112,2.311,Estonia
161249,1751-04-01,3.965,1.83,Estonia
161250,1751-05-01,,,Estonia
161251,1751-06-01,14.072000000000001,2.272,Estonia
161252,1751-07-01,17.720000000000006,1.945,Estonia
161253,1751-08-01,16.477,1.9809999999999999,Estonia
161254,1751-09-01,10.474,1.976,Estonia
161255,1751-10-01,,,Estonia
161256,1751-11-01,,,Estonia
161257,1751-12-01,,,Estonia
161258,1752-01-01,-8.655000000000001,2.483,Estonia
161259,1752-02-01,,,Estonia
161260,1752-03-01,-0.972,1.761,Estonia
161261,1752-04-01,4.183,2.347,Estonia
161262,1752-05-01,,,Estonia
161263,1752-06-01,,,Estonia
161264,1752-07-01,,,Estonia
161265,1752-08-01,,,Estonia
161266,1752-09-01,,,Estonia
161267,1752-10-01,5.433,2.123,Estonia
161268,1752-11-01,1.8359999999999999,1.176,Estonia
161269,1752-12-01,-2.763,1.291,Estonia
161270,1753-01-01,-6.4,7.307,Estonia
161271,1753-02-01,-6.8210000000000015,2.806,Estonia
161272,1753-03-01,-0.5750000000000002,4.253,Estonia
161273,1753-04-01,4.5600000000000005,5.25,Estonia
161274,1753-05-01,10.255999999999998,2.364,Estonia
161275,1753-06-01,14.249,3.525,Estonia
161276,1753-07-01,16.871000000000002,2.401,Estonia
161277,1753-08-01,15.956,8.087,Estonia
161278,1753-09-01,11.806,1.8119999999999998,Estonia
161279,1753-10-01,6.768,2.928,Estonia
161280,1753-11-01,0.01100000000000001,3.67,Estonia
161281,1753-12-01,-10.779000000000002,5.919,Estonia
161282,1754-01-01,-6.995,1.913,Estonia
161283,1754-02-01,-8.445,3.885,Estonia
161284,1754-03-01,-4.089,2.858,Estonia
161285,1754-04-01,5.2650000000000015,6.754,Estonia
161286,1754-05-01,10.809,3.853,Estonia
161287,1754-06-01,15.948,1.335,Estonia
161288,1754-07-01,16.502000000000002,2.912,Estonia
161289,1754-08-01,14.69,4.805,Estonia
161290,1754-09-01,10.448,3.13,Estonia
161291,1754-10-01,5.52,2.134,Estonia
161292,1754-11-01,-0.418,1.631,Estonia
161293,1754-12-01,-3.388,3.116,Estonia
161294,1755-01-01,-8.937000000000003,4.44,Estonia
161295,1755-02-01,-10.297,3.9789999999999996,Estonia
161296,1755-03-01,-4.478,4.279,Estonia
161297,1755-04-01,4.096,3.241,Estonia
161298,1755-05-01,11.661,2.5180000000000002,Estonia
161299,1755-06-01,16.91,3.179,Estonia
161300,1755-07-01,18.952,2.454,Estonia
161301,1755-08-01,14.456,3.225,Estonia
161302,1755-09-01,10.671,1.4080000000000001,Estonia
161303,1755-10-01,6.063,7.443,Estonia
161304,1755-11-01,0.595,8.291,Estonia
161305,1755-12-01,-5.0470000000000015,6.21,Estonia
161306,1756-01-01,-3.878000000000001,6.711,Estonia
161307,1756-02-01,-1.5310000000000006,4.9,Estonia
161308,1756-03-01,-2.189,6.709,Estonia
161309,1756-04-01,3.48,3.092,Estonia
161310,1756-05-01,8.934999999999997,5.6770000000000005,Estonia
161311,1756-06-01,16.612000000000002,3.407,Estonia
161312,1756-07-01,18.19,1.963,Estonia
161313,1756-08-01,13.86,9.772,Estonia
161314,1756-09-01,10.845,3.705,Estonia
161315,1756-10-01,5.093,4.268,Estonia
161316,1756-11-01,-2.522,5.032,Estonia
161317,1756-12-01,-6.4380000000000015,2.69,Estonia
161318,1757-01-01,-9.314,3.596,Estonia
161319,1757-02-01,-3.957,4.38,Estonia
161320,1757-03-01,-2.7910000000000004,3.32,Estonia
161321,1757-04-01,5.961,6.979,Estonia
161322,1757-05-01,10.147,3.9589999999999996,Estonia
161323,1757-06-01,17.834,3.911,Estonia
161324,1757-07-01,21.392,6.5360000000000005,Estonia
161325,1757-08-01,17.436,5.1,Estonia
161326,1757-09-01,12.415,8.551,Estonia
161327,1757-10-01,1.043,11.979000000000001,Estonia
161328,1757-11-01,0.5589999999999999,6.16,Estonia
161329,1757-12-01,-7.4689999999999985,10.298,Estonia
161330,1758-01-01,-11.014,2.365,Estonia
161331,1758-02-01,-8.235,2.818,Estonia
161332,1758-03-01,-4.327,4.2589999999999995,Estonia
161333,1758-04-01,2.479,6.53,Estonia
161334,1758-05-01,9.816,5.48,Estonia
161335,1758-06-01,14.575,5.675,Estonia
161336,1758-07-01,16.798000000000002,8.982000000000003,Estonia
161337,1758-08-01,15.079999999999998,6.875,Estonia
161338,1758-09-01,8.844,3.3139999999999996,Estonia
161339,1758-10-01,1.2729999999999997,11.408,Estonia
161340,1758-11-01,-0.395,9.975,Estonia
161341,1758-12-01,-6.019,6.002999999999999,Estonia
161342,1759-01-01,-3.22,7.3329999999999975,Estonia
161343,1759-02-01,-3.0000000000000004,7.77,Estonia
161344,1759-03-01,-2.181,4.055,Estonia
161345,1759-04-01,2.897,4.802,Estonia
161346,1759-05-01,7.6759999999999975,3.202,Estonia
161347,1759-06-01,16.285,6.558,Estonia
