Year,Value
188001,-0.32
188002,-0.70
188003,-0.76
188004,-0.43
188005,-0.24
188006,-0.19
188007,-0.30
188008,-0.25
188009,-0.47
188010,-0.73
188011,-0.94
188012,-0.63
188101,-0.61
188102,-0.50
188103,-0.23
188104,-0.16
188105,-0.10
188106,-0.58
188107,-0.35
188108,-0.13
188109,-0.46
188110,-0.88
188111,-1.00
188112,-0.29
188201,0.01
188202,-0.27
188203,-0.26
188204,-0.80
188205,-0.61
188206,-0.55
188207,-0.53
188208,-0.09
188209,-0.32
188210,-0.88
188211,-0.60
188212,-0.75
188301,-1.28
188302,-1.47
188303,-0.70
188304,-0.74
188305,-0.58
188306,-0.03
188307,-0.37
188308,-0.38
188309,-0.52
188310,-0.72
188311,-0.89
188312,-0.49
188401,-0.59
188402,-0.86
188403,-0.97
188404,-0.82
188405,-0.62
188406,-0.50
188407,-0.72
188408,-0.62
188409,-0.77
188410,-0.69
188411,-0.91
188412,-0.56
188501,-1.46
188502,-0.82
188503,-0.55
188504,-0.67
188505,-0.62
188506,-0.61
188507,-0.51
188508,-0.59
188509,-0.51
188510,-0.48
188511,-0.28
188512,0.20
188601,-0.53
188602,-1.03
188603,-0.80
188604,-0.40
188605,-0.46
188606,-0.49
188607,-0.22
188608,-0.38
188609,-0.41
188610,-0.80
188611,-0.75
188612,0.06
188701,-1.14
188702,-0.91
188703,-0.31
188704,-0.47
188705,-0.21
188706,-0.49
188707,-0.35
188708,-0.56
188709,-0.24
188710,-0.69
188711,-0.28
188712,-0.20
188801,-0.82
188802,-0.75
188803,-0.80
188804,-0.17
188805,-0.44
188806,-0.39
188807,-0.19
188808,-0.46
188809,-0.29
188810,-0.17
188811,-0.42
188812,-0.24
188901,-0.67
188902,-0.07
188903,0.11
188904,0.21
188905,-0.27
188906,-0.21
188907,-0.20
188908,-0.23
188909,-0.41
188910,-0.62
188911,-0.88
188912,-0.34
189001,-0.69
189002,-0.70
189003,-0.59
189004,-0.31
189005,-0.73
189006,-0.39
189007,-0.18
189008,-0.39
189009,-0.50
189010,-0.35
189011,-0.92
189012,-0.58
189101,-0.82
189102,-1.30
189103,-0.35
189104,-0.58
189105,-0.42
189106,-0.48
189107,-0.34
189108,-0.39
189109,-0.22
189110,-0.69
